tables,as,as_label,Pull Request/Issue,parents_as,parents_as_label,references
skeleton,https://purl.org/ccf/ASCTB-TEMP_iliac-tubercle-of-ilium-of-os-coxa,iliac tubercle of ilium of os coxa,,UBERON:0001272,innominate bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_iliac-tuberosity-of-ilium-of-os-coxa,iliac tuberosity of ilium of os coxa,,UBERON:0001272,innominate bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_iliopubic-ramus-of-os-coxa,iliopubic ramus of os coxa,,http://purl.org/sig/ont/fma/fma71302,Erector spinae muscle group,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_incisive-foramen-of-maxilla,incisive foramen of maxilla,,UBERON:0001272,innominate bone,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-eighth-thoracic-vertebra,inferior articular facet of eighth thoracic vertebra,,UBERON:0014685,pterygoid plexus,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-eleventh-thoracic-vertebra,inferior articular facet of eleventh thoracic vertebra,,UBERON:0011050,thoracic vertebra 8,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-fifth-cervical-vertebra,inferior articular facet of fifth cervical vertebra,,UBERON:0004635,thoracic vertebra 11,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-fifth-thoracic-vertebra,inferior articular facet of fifth thoracic vertebra,,UBERON:0004614,mammalian cervical vertebra 5,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-first-cervical-vertebra,inferior articular facet of first cervical vertebra,,UBERON:0004630,thoracic vertebra 5,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
skeleton,https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-first-thoracic-vertebra,inferior articular facet of first thoracic vertebra,,UBERON:0001092,vertebral bone 1,"https://fipat.library.dal.ca/ta2/, ISBN:9780323393225"
